440,816
444,799
455,786
461,770
465,749
461,728
461,709
465,690
474,675
480,656
486,637
488,619
495,602
503,585
512,570
520,556
528,543
535,522
543,509
553,493
541,472
545,480
530,457
518,442
499,434
488,428
472,423
457,421
446,407
444,388
430,371
419,354
413,337
402,321
398,306
400,287
398,270
394,247
384,230
386,214
390,195
390,174
384,153
371,144
373,128
379,113
392,100
394,79
404,71
419,60
436,48
449,44
463,37
482,33
499,27
514,25
528,23
545,23
562,18
577,18
591,18
606,23
619,29
635,37
652,41
667,52
675,62
686,75
692,86
700,100
709,119
707,134
715,148
719,163
721,180
721,199
723,211
721,226
732,235
726,247
730,264
736,274
738,289
742,304
747,314
755,325
768,314
780,312
793,321
807,329
822,335
837,342
854,350
866,358
875,373
889,375
904,381
916,390
931,402
942,411
958,423
971,436
982,446
990,459
998,474
1011,491
1019,505
1026,520
1032,528
1038,541
1049,556
1057,570
1065,583
1074,600
1082,616
1091,629
1097,644
1101,660
1110,675
1112,690
1120,705
1122,726
1128,740
1133,757
1135,788
1133,772
1139,801
1128,814
1124,828
1107,826
1101,830
1084,830
1072,826
1057,826
1047,826
1030,826
1017,826
1005,826
988,830
975,826
961,826
948,826
933,824
923,826
908,826
898,833
885,830
875,833
862,833
845,835
828,835
812,837
795,835
782,835
763,837
751,830
738,835
726,835
709,839
690,833
671,833
652,833
637,835
623,833
610,830
600,835
581,835
564,837
549,833
532,833
516,833
497,830
476,826
461,826
451,826
